Category ,Product ID,Products,Sub-Category
Technology,TEC-AC-10003832,Logitech P710e Mobile Speakerphone,Accessories
Office Supplies,OFF-ST-10001228,"Fellowes Personal Hanging Folder Files, Navy",Storage
Office Supplies,OFF-EN-10003296,Tyvek Side-Opening Peel & Seel Expanding Envelopes,Envelopes
Furniture,FUR-FU-10002505,Eldon 100 Class Desk Accessories,Furnishings
Office Supplies,OFF-ST-10004804,"Belkin 19"" Vented Equipment Shelf, Black",Storage
Office Supplies,OFF-ST-10001590,"Tenex Personal Project File with Scoop Front Design, Black",Storage
Technology,TEC-PH-10001580,Logitech Mobile Speakerphone P710e - speaker phone,Phones
Technology,TEC-AC-10000290,Sabrent 4-Port USB 2.0 Hub,Accessories
Office Supplies,OFF-ST-10002790,Safco Industrial Shelving,Storage
Office Supplies,OFF-BI-10003460,Acco 3-Hole Punch,Binders
Office Supplies,OFF-AP-10002203,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,Appliances
Technology,TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,Machines
Technology,TEC-MA-10003353,Xerox WorkCentre 6505DN Laser Multifunction Printer,Machines
Technology,TEC-PH-10001433,Cisco Small Business SPA 502G VoIP phone,Phones
Technology,TEC-AC-10004469,Microsoft Sculpt Comfort Mouse,Accessories
Office Supplies,OFF-AR-10003602,"Quartet Omega Colored Chalk, 12/Pack",Art
Office Supplies,OFF-FA-10003472,Bagged Rubber Bands,Fasteners
Office Supplies,OFF-ST-10004180,Safco Commercial Shelving,Storage
Office Supplies,OFF-EN-10004386,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Envelopes
Office Supplies,OFF-ST-10003208,Adjustable Depth Letter/Legal Cart,Storage
Technology,TEC-AC-10003628,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Accessories
Furniture,FUR-FU-10003274,Regeneration Desk Collection,Furnishings
Office Supplies,OFF-BI-10002557,Presstex Flexible Ring Binders,Binders
Office Supplies,OFF-PA-10002615,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",Paper
Office Supplies,OFF-AR-10001427,Newell 330,Art
Office Supplies,OFF-PA-10000673,"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad",Paper
Office Supplies,OFF-PA-10004470,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",Paper
Office Supplies,OFF-ST-10000876,Eldon Simplefile Box Office,Storage
Office Supplies,OFF-LA-10002043,Avery 489,Labels
Office Supplies,OFF-BI-10004967,Round Ring Binders,Binders
Technology,TEC-PH-10001760,Bose SoundLink Bluetooth Speaker,Phones
Furniture,FUR-TA-10002903,"Bevis Round Bullnose 29"" High Table Top",Tables
Office Supplies,OFF-PA-10000474,Easy-staple paper,Paper
Technology,TEC-AC-10001956,Microsoft Arc Touch Mouse,Accessories
Office Supplies,OFF-PA-10004100,Xerox 216,Paper
Office Supplies,OFF-BI-10000778,GBC VeloBinder Electric Binding Machine,Binders
Office Supplies,OFF-AP-10002684,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Appliances
Office Supplies,OFF-SU-10000646,Premier Automatic Letter Opener,Supplies
Office Supplies,OFF-FA-10002983,Advantus SlideClip Paper Clips,Fasteners
Office Supplies,OFF-LA-10004689,Avery 512,Labels
Technology,TEC-AC-10002001,Logitech Wireless Gaming Headset G930,Accessories
Furniture,FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",Bookcases
Furniture,FUR-FU-10004091,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",Furnishings
Furniture,FUR-CH-10001891,Global Deluxe Office Fabric Chairs,Chairs
Furniture,FUR-FU-10002918,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Furnishings
Office Supplies,OFF-BI-10004593,Ibico Laser Imprintable Binding System Covers,Binders
Office Supplies,OFF-FA-10004854,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",Fasteners
Office Supplies,OFF-PA-10002105,Xerox 223,Paper
Office Supplies,OFF-ST-10002756,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",Storage
Office Supplies,OFF-PA-10004243,Xerox 1939,Paper
Furniture,FUR-FU-10001861,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",Furnishings
Office Supplies,OFF-BI-10002706,Avery Premier Heavy-Duty Binder with Round Locking Rings,Binders
Furniture,FUR-TA-10002533,BPI Conference Tables,Tables
Furniture,FUR-FU-10002671,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,Furnishings
Office Supplies,OFF-AR-10003651,Newell 350,Art
Office Supplies,OFF-BI-10001072,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",Binders
Office Supplies,OFF-AR-10002135,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,Art
Office Supplies,OFF-AR-10002804,Faber Castell Col-Erase Pencils,Art
Furniture,FUR-FU-10001918,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,Furnishings
Furniture,FUR-CH-10004086,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,Chairs
Furniture,FUR-FU-10001756,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",Furnishings
Office Supplies,OFF-LA-10000634,Avery 509,Labels
Furniture,FUR-FU-10001588,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",Furnishings
Technology,TEC-PH-10002398,AT&T 1070 Corded Phone,Phones
Office Supplies,OFF-PA-10001937,Xerox 21,Paper
Office Supplies,OFF-AR-10003373,"Boston School Pro Electric Pencil Sharpener, 1670",Art
Furniture,FUR-CH-10002602,DMI Arturo Collection Mission-style Design Wood Chair,Chairs
Technology,TEC-MA-10002927,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,Machines
Technology,TEC-PH-10004093,Panasonic Kx-TS550,Phones
Technology,TEC-AC-10000892,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,Accessories
Office Supplies,OFF-ST-10002974,"Trav-L-File Heavy-Duty Shuttle II, Black",Storage
Office Supplies,OFF-FA-10000624,OIC Binder Clips,Fasteners
Office Supplies,OFF-BI-10004593,Ibico Laser Imprintable Binding System Covers,Binders
Technology,TEC-AC-10001908,Logitech Wireless Headset h800,Accessories
Furniture,FUR-FU-10001967,Telescoping Adjustable Floor Lamp,Furnishings
Technology,TEC-PH-10003645,Aastra 57i VoIP phone,Phones
Office Supplies,OFF-ST-10000675,"File Shuttle II and Handi-File, Black",Storage
Furniture,FUR-CH-10003312,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,Chairs
Office Supplies,OFF-LA-10001074,Round Specialty Laser Printer Labels,Labels
Office Supplies,OFF-BI-10001524,GBC Premium Transparent Covers with Diagonal Lined Pattern,Binders
Technology,TEC-PH-10004614,AT&T 841000 Phone,Phones
Office Supplies,OFF-BI-10001153,Ibico Recycled Grain-Textured Covers,Binders
Office Supplies,OFF-BI-10001982,Wilson Jones Custom Binder Spines & Labels,Binders
Office Supplies,OFF-BI-10001922,Storex Dura Pro Binders,Binders
Technology,TEC-CO-10001449,Hewlett Packard LaserJet 3310 Copier,Copiers
Office Supplies,OFF-BI-10004140,Avery Non-Stick Binders,Binders
Office Supplies,OFF-BI-10003314,Tuff Stuff Recycled Round Ring Binders,Binders
Furniture,FUR-TA-10004575,Hon 5100 Series Wood Tables,Tables
Office Supplies,OFF-FA-10000490,"OIC Binder Clips, Mini, 1/4"" Capacity, Black",Fasteners
Office Supplies,OFF-AR-10000122,Newell 314,Art
Office Supplies,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Binders
Office Supplies,OFF-FA-10002780,Staples,Fasteners
Technology,TEC-PH-10000702,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",Phones
Office Supplies,OFF-ST-10000107,Fellowes Super Stor/Drawer,Storage
Technology,TEC-PH-10002293,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Phones
Office Supplies,OFF-AR-10004027,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Art
Office Supplies,OFF-PA-10000249,Easy-staple paper,Paper
Office Supplies,OFF-AR-10001374,"BIC Brite Liner Highlighters, Chisel Tip",Art
Technology,TEC-AC-10000290,Sabrent 4-Port USB 2.0 Hub,Accessories
Office Supplies,OFF-PA-10001970,Xerox 1881,Paper
Office Supplies,OFF-BI-10002160,Acco Hanging Data Binders,Binders
Office Supplies,OFF-PA-10001970,Xerox 1881,Paper
Office Supplies,OFF-BI-10004995,GBC DocuBind P400 Electric Binding System,Binders
Furniture,FUR-BO-10002268,Sauder Barrister Bookcases,Bookcases
Office Supplies,OFF-EN-10001137,"#10 Gummed Flap White Envelopes, 100/Box",Envelopes
Office Supplies,OFF-AR-10002399,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",Art
Office Supplies,OFF-PA-10002713,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",Paper
Office Supplies,OFF-PA-10002666,Southworth 25% Cotton Linen-Finish Paper & Envelopes,Paper
Office Supplies,OFF-AP-10001124,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,Appliances
Office Supplies,OFF-LA-10001158,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",Labels
Office Supplies,OFF-LA-10001158,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",Labels
Furniture,FUR-CH-10000785,Global Ergonomic Managers Chair,Chairs
Office Supplies,OFF-AR-10003732,Newell 333,Art
Furniture,FUR-FU-10000023,Eldon Wave Desk Accessories,Furnishings
Office Supplies,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Storage
Office Supplies,OFF-BI-10002412,Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders,Binders
Office Supplies,OFF-SU-10001225,Staple remover,Supplies
Office Supplies,OFF-ST-10002406,Pizazz Global Quick File,Storage
Furniture,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Bookcases
Office Supplies,OFF-PA-10002036,Xerox 1930,Paper
Office Supplies,OFF-ST-10002205,File Shuttle I and Handi-File,Storage
Office Supplies,OFF-BI-10001982,Wilson Jones Custom Binder Spines & Labels,Binders
Technology,TEC-AC-10003911,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,Accessories
Office Supplies,OFF-AR-10000658,Newell 324,Art
Technology,TEC-AC-10002076,Microsoft Natural Keyboard Elite,Accessories
Office Supplies,OFF-PA-10003039,Xerox 1960,Paper
Furniture,FUR-TA-10004915,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",Tables
Office Supplies,OFF-AP-10000696,Holmes Odor Grabber,Appliances
Office Supplies,OFF-ST-10003327,Akro-Mils 12-Gallon Tote,Storage
Office Supplies,OFF-BI-10000309,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",Binders
Office Supplies,OFF-PA-10004734,Southworth Structures Collection,Paper
Office Supplies,OFF-BI-10002225,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",Binders
Technology,TEC-AC-10004708,Sony 32GB Class 10 Micro SDHC R40 Memory Card,Accessories
Furniture,FUR-TA-10000617,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",Tables
Technology,TEC-AC-10002335,Logitech Media Keyboard K200,Accessories
Technology,TEC-MA-10001681,Lexmark MarkNet N8150 Wireless Print Server,Machines
Furniture,FUR-FU-10001935,3M Hangers With Command Adhesive,Furnishings
Office Supplies,OFF-AR-10004757,Crayola Colored Pencils,Art
Office Supplies,OFF-BI-10000050,"Angle-D Binders with Locking Rings, Label Holders",Binders
Technology,TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Accessories
Technology,TEC-PH-10003012,Nortel Meridian M3904 Professional Digital phone,Phones
Technology,TEC-CO-10002313,Canon PC1080F Personal Copier,Copiers
Office Supplies,OFF-BI-10003982,Wilson Jones Century Plastic Molded Ring Binders,Binders
Office Supplies,OFF-BI-10004492,Tuf-Vin Binders,Binders
Office Supplies,OFF-ST-10000798,2300 Heavy-Duty Transfer File Systems by Perma,Storage
Office Supplies,OFF-PA-10002552,Xerox 1958,Paper
Office Supplies,OFF-SU-10002573,"Acme 10"" Easy Grip Assistive Scissors",Supplies
Office Supplies,OFF-ST-10001580,Super Decoflex Portable Personal File,Storage
Furniture,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Bookcases
Office Supplies,OFF-ST-10000934,"Contico 72""H Heavy-Duty Storage System",Storage
Technology,TEC-AC-10000158,Sony 64GB Class 10 Micro SDHC R40 Memory Card,Accessories
Office Supplies,OFF-PA-10001947,Xerox 1974,Paper
Office Supplies,OFF-AR-10003478,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Art
Office Supplies,OFF-AP-10004249,Staple holder,Appliances
Technology,TEC-AC-10000158,Sony 64GB Class 10 Micro SDHC R40 Memory Card,Accessories
Technology,TEC-CO-10004115,Sharp AL-1530CS Digital Copier,Copiers
Office Supplies,OFF-PA-10003724,"Wirebound Message Book, 4 per Page",Paper
Furniture,FUR-TA-10002041,"Bevis Round Conference Table Top, X-Base",Tables
Office Supplies,OFF-PA-10002893,"Wirebound Service Call Books, 5 1/2"" x 4""",Paper
Office Supplies,OFF-LA-10003766,Self-Adhesive Removable Labels,Labels
Office Supplies,OFF-PA-10001970,Xerox 1908,Paper
Furniture,FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Bookcases
Furniture,FUR-CH-10003956,Novimex High-Tech Fabric Mesh Task Chair,Chairs
Office Supplies,OFF-PA-10000157,Xerox 191,Paper
Furniture,FUR-CH-10001891,Global Deluxe Office Fabric Chairs,Chairs
Office Supplies,OFF-AR-10004344,Bulldog Vacuum Base Pencil Sharpener,Art
Furniture,FUR-CH-10004886,Bevis Steel Folding Chairs,Chairs
Office Supplies,OFF-PA-10003845,Xerox 1987,Paper
Office Supplies,OFF-AR-10001573,American Pencil,Art
Office Supplies,OFF-EN-10000483,"White Envelopes, White Envelopes with Clear Poly Window",Envelopes
Technology,TEC-AC-10004114,KeyTronic 6101 Series - Keyboard - Black,Accessories
Furniture,FUR-FU-10004712,"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black",Furnishings
Office Supplies,OFF-ST-10000918,Crate-A-Files,Storage
Furniture,FUR-CH-10000015,Hon Multipurpose Stacking Arm Chairs,Chairs
Furniture,FUR-FU-10003347,Coloredge Poster Frame,Furnishings
Office Supplies,OFF-BI-10001543,GBC VeloBinder Manual Binding System,Binders
Technology,TEC-MA-10000029,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",Machines
Office Supplies,OFF-AR-10000369,Design Ebony Sketching Pencil,Art
Office Supplies,OFF-BI-10004584,GBC ProClick 150 Presentation Binding System,Binders
Technology,TEC-AC-10004659,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,Accessories
Technology,TEC-AC-10004659,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,Accessories
Office Supplies,OFF-ST-10000617,Woodgrain Magazine Files by Perma,Storage
Office Supplies,OFF-ST-10003306,Letter Size Cart,Storage
Office Supplies,OFF-BI-10000773,Insertable Tab Post Binder Dividers,Binders
Technology,TEC-AC-10002600,Belkin QODE FastFit Bluetooth Keyboard,Accessories
Technology,TEC-MA-10002937,"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner",Machines
Office Supplies,OFF-PA-10001970,Xerox 1908,Paper
Office Supplies,OFF-PA-10002230,Xerox 1897,Paper
Furniture,FUR-CH-10003396,Global Deluxe Steno Chair,Chairs
Furniture,FUR-FU-10000246,Aluminum Document Frame,Furnishings
Office Supplies,OFF-ST-10000060,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,Storage
Office Supplies,OFF-ST-10003058,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,Storage
Office Supplies,OFF-PA-10002222,"Xerox Color Copier Paper, 11"" x 17"", Ream",Paper
Furniture,FUR-CH-10002372,Office Star - Ergonomically Designed Knee Chair,Chairs
Office Supplies,OFF-LA-10001317,Avery 520,Labels
Furniture,FUR-FU-10000206,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",Furnishings
Office Supplies,OFF-AR-10000588,Newell 345,Art
Office Supplies,OFF-ST-10001469,Fellowes Bankers Box Recycled Super Stor/Drawer,Storage
Office Supplies,OFF-AR-10001953,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Art
Office Supplies,OFF-AR-10003156,50 Colored Long Pencils,Art
Office Supplies,OFF-AR-10004974,Newell 342,Art
Technology,TEC-PH-10002365,Belkin Grip Candy Sheer Case / Cover for iPhone 5 and 5S,Phones
Furniture,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Tables
Office Supplies,OFF-ST-10000142,Deluxe Rollaway Locking File with Drawer,Storage
Technology,TEC-AC-10001772,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,Accessories
Furniture,FUR-CH-10000225,"Global Geo Office Task Chair, Gray",Chairs
Furniture,FUR-CH-10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Chairs
Office Supplies,OFF-EN-10001415,Staple envelope,Envelopes
Office Supplies,OFF-AP-10002472,3M Office Air Cleaner,Appliances
Technology,TEC-AC-10004571,Logitech G700s Rechargeable Gaming Mouse,Accessories
Office Supplies,OFF-BI-10001098,Acco D-Ring Binder w/DublLock,Binders
Furniture,FUR-FU-10000023,Eldon Wave Desk Accessories,Furnishings
Furniture,FUR-TA-10001889,Bush Advantage Collection Racetrack Conference Table,Tables
Office Supplies,OFF-BI-10000315,Poly Designer Cover & Back,Binders
Office Supplies,OFF-SU-10003505,Premier Electric Letter Opener,Supplies
Office Supplies,OFF-AP-10002578,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",Appliances
Furniture,FUR-FU-10002918,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Furnishings
Furniture,FUR-BO-10002824,Bush Mission Pointe Library,Bookcases
Office Supplies,OFF-BI-10002194,Cardinal Hold-It CD Pocket,Binders
Office Supplies,OFF-PA-10004071,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",Paper
Office Supplies,OFF-ST-10002743,SAFCO Boltless Steel Shelving,Storage
Furniture,FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",Bookcases
Technology,TEC-PH-10002680,Samsung Galaxy Note 3,Phones
Office Supplies,OFF-ST-10001321,"Decoflex Hanging Personal Folder File, Blue",Storage
Office Supplies,OFF-PA-10001509,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",Paper
Office Supplies,OFF-PA-10003465,Xerox 1912,Paper
Technology,TEC-PH-10000149,Cisco SPA525G2 IP Phone - Wireless,Phones
Furniture,FUR-FU-10002671,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,Furnishings
Office Supplies,OFF-AR-10003045,Prang Colored Pencils,Art
Office Supplies,OFF-ST-10000689,"Fellowes Strictly Business Drawer File, Letter/Legal Size",Storage
Technology,TEC-AC-10001445,Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink,Accessories
Office Supplies,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Art
Technology,TEC-AC-10002567,Logitech G602 Wireless Gaming Mouse,Accessories
Office Supplies,OFF-LA-10003923,Alphabetical Labels for Top Tab Filing,Labels
Furniture,FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,Bookcases
Technology,TEC-PH-10001924,iHome FM Clock Radio with Lightning Dock,Phones
Technology,TEC-PH-10001363,Apple iPhone 5S,Phones
Technology,TEC-PH-10000376,Square Credit Card Reader,Phones
Technology,TEC-AC-10000303,Logitech M510 Wireless Mouse,Accessories
Office Supplies,OFF-AR-10001953,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Art
Office Supplies,OFF-ST-10001809,Fellowes Officeware Wire Shelving,Storage
Office Supplies,OFF-EN-10003845,Colored Envelopes,Envelopes
Technology,TEC-AC-10000991,Sony Micro Vault Click 8 GB USB 2.0 Flash Drive,Accessories
Furniture,FUR-TA-10001857,Balt Solid Wood Rectangular Table,Tables
Office Supplies,OFF-EN-10001434,"Strathmore #10 Envelopes, Ultimate White",Envelopes
Office Supplies,OFF-BI-10002498,Clear Mylar Reinforcing Strips,Binders
Furniture,FUR-FU-10004864,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Furnishings
Furniture,FUR-CH-10002602,DMI Arturo Collection Mission-style Design Wood Chair,Chairs
Furniture,FUR-FU-10000073,Deflect-O Glasstique Clear Desk Accessories,Furnishings
Office Supplies,OFF-BI-10001670,Vinyl Sectional Post Binders,Binders
Office Supplies,OFF-BI-10001658,GBC Standard Therm-A-Bind Covers,Binders
Furniture,FUR-CH-10001215,Global Troy Executive Leather Low-Back Tilter,Chairs
Office Supplies,OFF-BI-10000831,Storex Flexible Poly Binders with Double Pockets,Binders
Office Supplies,OFF-PA-10000357,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Paper
Office Supplies,OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",Binders
Office Supplies,OFF-AR-10001662,Rogers Handheld Barrel Pencil Sharpener,Art
Office Supplies,OFF-AR-10003856,Newell 344,Art
Office Supplies,OFF-ST-10001228,Personal File Boxes with Fold-Down Carry Handle,Storage
Office Supplies,OFF-BI-10003527,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Binders
Furniture,FUR-FU-10001290,Executive Impressions Supervisor Wall Clock,Furnishings
